model,predictor,RT_min,RT_max,Acc_min,Acc_max
simple,nNoun,-15,15,-0.015,0.02
simple,nVerb,-20,10,-0.015,0.015
simple,nAdj,-25,5,-0.015,0.015
simple,nAdv,-30,50,-0.075,0.05
simple,Conc,-15,10,-0.015,0.015
simple,SemD,-20,15,-0.015,0.015
simple,SubCD,-15,15,-0.02,0.02
simple,MemCD,-15,15,-0.025,0.02
simple,logWF,-15,15,-0.02,0.02
simple,nLet,-20,30,-0.03,0.02
simple,nSyll,-30,25,-0.03,0.03
simple,old20,-25,50,-0.05,0.03
simple,pld20,-25,50,-0.04,0.03
simple,posUni,-15,15,-0.015,0.025
simple,posBi,-25,5,-0.02,0.04
multi,nNoun,-100,100,-0.2,0.2
multi,nVerb,-100,75,-0.2,0.2
multi,nAdj,-125,75,-0.2,0.2
multi,nAdv,-75,50,-0.1,0.15
multi,Conc,-100,100,-0.2,0.2
multi,SemD,-100,100,-0.2,0.2
multi,SubCD,-100,100,-0.2,0.2
multi,MemCD,-100,100,-0.2,0.2
multi,logWF,-150,100,-0.25,0.2
multi,nLet,-75,75,-0.2,0.2
multi,nSyll,-100,75,-0.2,0.2
multi,old20,-150,75,-0.2,0.2
multi,pld20,-100,75,-0.2,0.2
multi,posUni,-100,75,-0.2,0.2
multi,posBi,-100,75,-0.2,0.2
pca,RC1,-15,40,-0.035,0.03
pca,RC2,-15,20,-0.015,0.03
pca,RC3,-15,20,-0.02,0.03
pca,RC4,-15,25,-0.015,0.03
