word	phonology|s	PhonOneCharPerPhonemeNoStress	isIllegal	isDuplicate	isHomograph	isHomophone	nSyll	nPhon	delete	lowerMostFreq	SUBTLwf	nLet	isIllegal	pld20	old20	posBigram	legalBigram	posUni	legalUni	coltNOrth	orthNeighbours	coltNPhon	phonNeighbours	NphonOnsetNeighbour	phonOnsetNeighbours	NphonOffsetNeighbours	PhonOffsetNeighbours
a	ah0	2	0	0	1	0	1	1	1	1	20415.27451	1	0	1	#N/A	0	1	1	1	25	|z|q|x|w|v|h|k|g|u|f|n|p|r|e|j|b|y|c|l|o|d|m|t|s|i	20	|0|5|3|0|Û|5|è|è|8|9|5|5|ô|ô|û|Î|ô|ô|û|É	20	|0|5|3|0|Û|5|è|è|8|9|5|5|ô|ô|û|Î|ô|ô|û|É	20	|0|5|3|0|Û|5|è|è|8|9|5|5|ô|ô|û|Î|ô|ô|û|É
aaron	eh1|-|r|ah0|n	8r2n	0	0	0	0	2	4	0	0	14.64705882	5	0	1.6	#N/A	104	1	1025	1	2	|baron|apron	4	|0r2n|8l2n|8rén|8r2s	1	|0r2n	1	|8r2s
ab	ae1|b	1b	0	0	1	0	1	2	0	0	1.470588235	2	0	#N/A	#N/A	1	1	21	1	19	|lb|ob|bb|ag|aa|ap|ac|ar|ai|ax|ay|ad|aw|al|ah|am|an|as|at	13	|9b|1d|1d|1g|1l|1m|1n|1n|1n|1z|1É|1s|1t	1	|9b	12	|1d|1d|1g|1l|1m|1n|1n|1n|1z|1É|1s|1t
abandon	ah0|-|b|ae1|n|-|d|ah0|n	2b1nd2n	0	0	0	0	3	7	1	1	8.098039216	7	0	2.45	2.9	139	1	1036	1	0	0	0		0		0	
abandoned	ah0|-|b|ae1|n|-|d|ah0|n|d	2b1nd2nd	0	0	0	0	3	8	1	1	13.29411765	9	0	2.6	3.55	279	1	1184	1	0	0	0		0		0	
abandoning	ah0|-|b|ae1|n|-|d|ah0|-|n|ih0|ng	2b1nd2néî	0	0	0	0	4	9	1	1	1.68627451	10	0	3.3	3.7	297	1	1050	1	0	0	0		0		0	
abbey	ae1|-|b|iy0	1bè	0	0	0	1	2	3	0	0	3.176470588	5	0	1.55	2.15	37	1	943	1	0	0	4	|1gè|1lè|1nè|1bÎ	0		1	|1bÎ
abbott	ae1|-|b|ah0|t	1b2t	0	0	0	0	2	4	0	0	7.862745098	6	0	#N/A	#N/A	30	1	794	1	0	0	0		0		0	
abby	ae1|-|b|iy0	1bè	0	0	0	1	2	3	0	0	12.49019608	4	0	#N/A	#N/A	9	1	186	1	0	0	4	|1gè|1lè|1nè|1bÎ	0		1	|1bÎ
abdomen	ae0|b|-|d|ow1|-|m|ah0|n	1bdôm2n	0	0	1	0	3	7	1	1	3.352941176	7	0	3	3	66	1	1343	1	0	0	0		0		0	
abdominal	ae0|b|-|d|aa1|-|m|ah0|-|n|ah0|l	1bd0m2n2l	0	0	1	0	4	9	1	1	3.411764706	9	0	4	3.75	73	1	713	1	0	0	0		0		0	
abducted	ae0|b|-|d|ah1|k|-|t|ih0|d	1bd2ktéd	0	0	1	0	3	8	1	1	5	8	0	#N/A	#N/A	373	1	1405	1	0	0	0		0		0	
abduction	ae0|b|-|d|ah1|k|-|sh|ah0|n	1bd2kÉ2n	0	0	1	0	3	8	1	1	3.62745098	9	0	2.65	2.7	305	1	1290	1	0	0	0		0		0	
abel	ey1|-|b|ah0|l	Ûb2l	0	0	0	1	2	4	0	0	1.333333333	4	0	1.55	#N/A	17	1	334	1	1	|axel	2	|9b2l|Ûn2l	1	|9b2l	0	
abide	ah0|-|b|ay1|d	2b5d	0	0	0	0	2	4	1	1	2.705882353	5	0	1.85	1.7	39	1	862	1	1	|aside	2	|2l5d|2s5d	0		0	
abigail	ae1|-|b|ah0|-|g|ey2|l	1b2gÛl	0	0	0	0	3	6	0	0	3.019607843	7	0	2.95	#N/A	52	1	927	1	0	0	0		0		0	
abilene	ae1|-|b|ih0|-|l|iy2|n	1bélèn	0	0	0	0	3	6	0	0	1.333333333	7	0	#N/A	#N/A	144	1	1805	1	0	0	0		0		0	
abilities	ah0|-|b|ih1|-|l|ah0|-|t|iy0|z	2bél2tèz	0	0	0	0	4	8	1	1	6.117647059	9	0	2.75	2.95	316	1	1929	1	0	0	0		0		0	
ability	ah0|-|b|ih1|-|l|ah0|-|t|iy0	2bél2tè	0	0	0	0	4	7	1	1	19.21568627	7	0	2.3	2.3	176	1	1597	1	0	0	0		0		0	
able	ey1|-|b|ah0|l	Ûb2l	0	0	0	1	2	4	1	1	159.9019608	4	0	1.55	1.5	35	1	511	1	1	|axle	2	|9b2l|Ûn2l	1	|9b2l	0	
abner	ae1|b|-|n|er0	1bn9	0	0	0	0	2	4	0	0	3.37254902	5	0	#N/A	#N/A	153	1	964	1	0	0	0		0		0	
abnormal	ae0|b|-|n|ao1|r|-|m|ah0|l	1bn3rm2l	0	0	0	0	3	8	1	1	2.901960784	8	0	3.35	3.1	154	1	1017	1	0	0	0		0		0	
aboard	ah0|-|b|ao1|r|d	2b3rd	0	0	0	0	2	5	1	1	26.62745098	6	0	1.6	2.3	68	1	1148	1	0	0	5	|2k3rd|2d3rd|2f3rd|2w3rd|2b3rt	0		1	|2b3rt
abomination	ah0|-|b|aa2|-|m|ah0|-|n|ey1|-|sh|ah0|n	2b0m2nÛÉ2n	0	0	0	0	5	10	1	1	1.137254902	11	0	#N/A	#N/A	391	1	890	1	0	0	0		0		0	
abort	ah0|-|b|ao1|r|t	2b3rt	0	0	0	0	2	5	0	0	4.607843137	5	0	1.9	1.95	53	1	692	1	1	|about	1	|2b3rd	0		1	|2b3rd
abortion	ah0|-|b|ao1|r|-|sh|ah0|n	2b3rÉ2n	0	0	0	0	3	7	1	1	7.235294118	8	0	2.55	2.55	280	1	1589	1	0	0	0		0		0	
about	ah0|-|b|aw1|t	2b4t	0	0	0	0	2	4	1	1	3631.490196	5	0	1.95	1.85	39	1	599	1	1	|abort	0		0		0	
above	ah0|-|b|ah1|v	2b2v	0	0	0	0	2	4	1	1	48.88235294	5	0	1.95	1.95	47	1	756	1	0	0	0		0		0	
abracadabra	ae2|-|b|r|ah0|-|k|ah0|-|d|ae1|-|b|r|ah0	1br2k2d1br2	0	0	0	0	5	11	0	0	1.039215686	11	0	6.9	5.95	33	1	317	1	0	0	0		0		0	
abraham	ey1|-|b|r|ah0|-|hh|ae2|m	Ûbr2@1m	0	0	0	0	3	7	0	0	5.176470588	7	0	4.95	#N/A	49	1	975	1	0	0	0		0		0	
