"Dataset","Words Analysed","Variable","Mean","SD","Range","IQR"
"VLD_AP_H-F","185","RT","520","28","468 - 620","501 - 536"
NA,NA,"Acc","0.94","0.05","0.67 - 1","0.93 - 0.97"
NA,NA,"NOS","9.6","4.4","1 - 25","6 - 12"
NA,NA,"nNoun","4.1","2.4","0 - 13","2 - 6"
NA,NA,"nVerb","4.4","3.4","0 - 15","1 - 7"
NA,NA,"nAdj","1","2.1","0 - 12","0 - 0"
NA,NA,"nAdv","0.1","0.4","0 - 4","0 - 0"
NA,NA,"Conc","3.93","0.85","1.87 - 5","3.29 - 4.7"
NA,NA,"SemD","1.69","0.21","0.95 - 2.17","1.56 - 1.82"
NA,NA,"SubCD","2.67","0.38","1.69 - 3.43","2.4 - 2.93"
NA,NA,"MemCD","698.37","315.19","154.8 - 2118.53","467.76 - 854.61"
NA,NA,"logWF","1.19","0.38","0.39 - 1.95","0.89 - 1.46"
NA,NA,"nLet","4.4","0.8","3 - 7","4 - 5"
NA,NA,"nSyll","1.1","0.3","1 - 3","1 - 1"
NA,NA,"pld20","1.32","0.33","1 - 2.85","1 - 1.55"
NA,NA,"old20","2","0","1 - 3","1 - 2"
NA,NA,"posUni","809","362","48 - 2348","611 - 971"
NA,NA,"posBi","84","54","4 - 421","51 - 104"
"VLD_AP_V-D","185","RT","634","30","575 - 733","611 - 655"
NA,NA,"Acc","0.94","0.05","0.66 - 1","0.92 - 0.97"
NA,NA,"NOS","9.6","4.4","1 - 25","6 - 12"
NA,NA,"nNoun","4.1","2.4","0 - 13","2 - 6"
NA,NA,"nVerb","4.4","3.4","0 - 15","1 - 7"
NA,NA,"nAdj","1","2.1","0 - 12","0 - 0"
NA,NA,"nAdv","0.1","0.4","0 - 4","0 - 0"
NA,NA,"Conc","3.93","0.85","1.87 - 5","3.29 - 4.7"
NA,NA,"SemD","1.69","0.21","0.95 - 2.17","1.56 - 1.82"
NA,NA,"SubCD","2.67","0.38","1.69 - 3.43","2.4 - 2.93"
NA,NA,"MemCD","698.37","315.19","154.8 - 2118.53","467.76 - 854.61"
NA,NA,"logWF","1.19","0.38","0.39 - 1.95","0.89 - 1.46"
NA,NA,"nLet","4.4","0.8","3 - 7","4 - 5"
NA,NA,"nSyll","1.1","0.3","1 - 3","1 - 1"
NA,NA,"pld20","1.32","0.33","1 - 2.85","1 - 1.55"
NA,NA,"old20","2","0","1 - 3","1 - 2"
NA,NA,"posUni","809","362","48 - 2348","611 - 971"
NA,NA,"posBi","84","54","4 - 421","51 - 104"
"VLD_BLP","5195","RT","583","52","472 - 847","544 - 613"
NA,NA,"Acc","0.96","0.07","0.5 - 1","0.95 - 1"
NA,NA,"NOS","4.9","4","1 - 37","2 - 6"
NA,NA,"nNoun","2.1","2","0 - 14","0 - 3"
NA,NA,"nVerb","1.8","2.8","0 - 31","0 - 3"
NA,NA,"nAdj","0.8","1.6","0 - 18","0 - 1"
NA,NA,"nAdv","0.1","0.7","0 - 15","0 - 0"
NA,NA,"Conc","3.47","1.05","1.04 - 5","2.55 - 4.44"
NA,NA,"SemD","1.65","0.31","0.36 - 2.41","1.46 - 1.86"
NA,NA,"SubCD","2.46","0.63","0.85 - 3.92","1.93 - 2.88"
NA,NA,"MemCD","612.81","468.6","28.25 - 2777.93","268.18 - 827.58"
NA,NA,"logWF","1.29","0.67","0.3 - 4.58","0.78 - 1.69"
NA,NA,"nLet","5.8","1.5","2 - 12","5 - 7"
NA,NA,"nSyll","1.7","0.5","1 - 3","1 - 2"
NA,NA,"pld20","1.89","0.67","1 - 5.6","1.45 - 2.25"
NA,NA,"old20","2","1","1 - 6","2 - 2"
NA,NA,"posUni","1226","591","12 - 3308","800 - 1606"
NA,NA,"posBi","161","164","1 - 986","69 - 180"
"VLD_ELP","8445","RT","688","84","493 - 1132","627 - 738"
NA,NA,"Acc","0.95","0.07","0.5 - 1","0.94 - 1"
NA,NA,"NOS","4.3","3.6","1 - 37","2 - 5"
NA,NA,"nNoun","1.8","1.8","0 - 14","0 - 3"
NA,NA,"nVerb","1.5","2.7","0 - 31","0 - 2"
NA,NA,"nAdj","0.8","1.5","0 - 18","0 - 1"
NA,NA,"nAdv","0.1","0.6","0 - 15","0 - 0"
NA,NA,"Conc","3.24","1.06","1.07 - 5","2.28 - 4.19"
NA,NA,"SemD","1.65","0.32","0.36 - 2.41","1.45 - 1.88"
NA,NA,"SubCD","2.36","0.59","0.85 - 3.92","1.88 - 2.72"
NA,NA,"MemCD","560.91","430.65","28.25 - 2777.93","253.99 - 738.71"
NA,NA,"logWF","0.94","0.62","0.3 - 4.62","0.47 - 1.22"
NA,NA,"nLet","6.9","2.2","2 - 14","5 - 8"
NA,NA,"nSyll","2.3","1","1 - 6","2 - 3"
NA,NA,"pld20","2.36","1","1 - 7.15","1.65 - 2.9"
NA,NA,"old20","2","1","1 - 7","2 - 3"
NA,NA,"posUni","1208","561","12 - 3308","809 - 1564"
NA,NA,"posBi","180","166","1 - 986","81 - 209"
"ALD_AELP","5318","RT","944","83","703 - 1274","886 - 997"
NA,NA,"Acc","0.94","0.08","0.5 - 1","0.92 - 0.98"
NA,NA,"NOS","4.5","3.6","1 - 36","2 - 6"
NA,NA,"nNoun","2.2","1.9","0 - 13","1 - 3"
NA,NA,"nVerb","1.5","2.5","0 - 31","0 - 2"
NA,NA,"nAdj","0.8","1.6","0 - 18","0 - 1"
NA,NA,"nAdv","0","0.3","0 - 7","0 - 0"
NA,NA,"Conc","3.37","1.07","1.19 - 5","2.39 - 4.4"
NA,NA,"SemD","1.64","0.3","0.36 - 2.37","1.45 - 1.85"
NA,NA,"SubCD","2.39","0.56","1 - 3.92","1.94 - 2.75"
NA,NA,"MemCD","556.39","388.99","32.79 - 2419.51","269.88 - 739.35"
NA,NA,"logWF","0.96","0.57","0.3 - 3.76","0.51 - 1.26"
NA,NA,"nLet","6.7","2.1","2 - 14","5 - 8"
NA,NA,"nSyll","2.2","1","1 - 6","1 - 3"
NA,NA,"pld20","2.31","0.96","1 - 7.15","1.6 - 2.85"
NA,NA,"old20","2","1","1 - 7","2 - 3"
NA,NA,"posUni","1187","517","20 - 3187","821 - 1527"
NA,NA,"posBi","156","120","1 - 983","80 - 191"
"ALD_MALD","7491","RT","885","139","414 - 1708","791 - 959"
NA,NA,"Acc","0.96","0.1","0.5 - 1","1 - 1"
NA,NA,"NOS","4.4","3.7","1 - 37","2 - 6"
NA,NA,"nNoun","1.9","1.9","0 - 14","0 - 3"
NA,NA,"nVerb","1.6","2.8","0 - 31","0 - 2"
NA,NA,"nAdj","0.8","1.5","0 - 18","0 - 1"
NA,NA,"nAdv","0.1","0.6","0 - 15","0 - 0"
NA,NA,"Conc","3.23","1.07","1.07 - 5","2.28 - 4.19"
NA,NA,"SemD","1.67","0.31","0.36 - 2.41","1.47 - 1.89"
NA,NA,"SubCD","2.4","0.59","1 - 3.92","1.92 - 2.76"
NA,NA,"MemCD","585.43","431.15","32.47 - 2777.93","275.45 - 769.04"
NA,NA,"logWF","0.97","0.62","0.3 - 4.62","0.5 - 1.26"
NA,NA,"nLet","7","2.2","2 - 14","5 - 8"
NA,NA,"nSyll","2.3","1","1 - 6","2 - 3"
NA,NA,"pld20","2.36","0.99","1 - 7.1","1.65 - 2.9"
NA,NA,"old20","2","1","1 - 7","2 - 3"
NA,NA,"posUni","1214","560","12 - 3308","816 - 1571"
NA,NA,"posBi","182","167","1 - 986","82 - 211"
"NMG_ELP","8469","RT","657","65","508 - 976","610 - 693"
NA,NA,"Acc","0.98","0.04","0.58 - 1","0.96 - 1"
NA,NA,"NOS","4.3","3.6","1 - 37","2 - 5"
NA,NA,"nNoun","1.8","1.8","0 - 14","0 - 3"
NA,NA,"nVerb","1.5","2.7","0 - 31","0 - 2"
NA,NA,"nAdj","0.8","1.5","0 - 18","0 - 1"
NA,NA,"nAdv","0.1","0.6","0 - 15","0 - 0"
NA,NA,"Conc","3.23","1.06","1.04 - 5","2.28 - 4.19"
NA,NA,"SemD","1.65","0.32","0.36 - 2.41","1.45 - 1.88"
NA,NA,"SubCD","2.36","0.59","0.85 - 3.92","1.88 - 2.72"
NA,NA,"MemCD","560.03","430.52","28.25 - 2777.93","253.27 - 736.6"
NA,NA,"logWF","0.94","0.62","0.3 - 4.62","0.47 - 1.22"
NA,NA,"nLet","6.9","2.2","2 - 14","5 - 8"
NA,NA,"nSyll","2.3","1","1 - 6","2 - 3"
NA,NA,"pld20","2.36","1","1 - 7.15","1.65 - 2.9"
NA,NA,"old20","2","1","1 - 7","2 - 3"
NA,NA,"posUni","1207","562","12 - 3308","807 - 1564"
NA,NA,"posBi","180","165","1 - 986","81 - 209"
"SD_SDP","3085","RT","970","124","654 - 1493","887 - 1047"
NA,NA,"Acc","0.89","0.11","0.5 - 1","0.84 - 0.97"
NA,NA,"NOS","3.4","2.8","1 - 31","2 - 4"
NA,NA,"nNoun","1.6","1.6","0 - 12","0 - 3"
NA,NA,"nVerb","1.1","2.2","0 - 24","0 - 1"
