word,SUBTLwf,nLet,nSyll,nPhon,coltNOrth,coltNPhon,old20,pld20,posBigram,isHomograph,isHomophone,WNsensecount
abandon,8.09803921568627,7,3,7,0,0,2.9,2.45,139,0,0,7
abandoned,13.2941176470588,9,3,8,0,0,3.55,2.6,279,0,0,7
abandoning,1.68627450980392,10,4,9,0,0,3.7,3.3,297,0,0,5
abbey,3.17647058823529,5,2,3,0,4,2.15,1.55,37,0,1,3
abdomen,3.35294117647059,7,3,7,0,0,3,3,66,1,0,2
abdominal,3.41176470588235,9,4,9,0,0,3.75,4,73,1,0,2
abduction,3.62745098039216,9,3,8,0,0,2.7,2.65,305,1,0,2
abide,2.70588235294118,5,2,4,1,2,1.7,1.85,39,0,0,2
abilities,6.11764705882353,9,4,8,0,0,2.95,2.75,316,0,0,2
ability,19.2156862745098,7,4,7,0,0,2.3,2.3,176,0,0,2
able,159.901960784314,4,2,4,1,2,1.5,1.55,35,0,1,4
abnormal,2.90196078431373,8,3,8,0,0,3.1,3.35,154,0,0,3
aboard,26.6274509803922,6,2,5,0,5,2.3,1.6,68,0,0,4
abort,4.6078431372549,5,2,5,1,1,1.95,1.9,53,0,0,4
abortion,7.23529411764706,8,3,7,0,0,2.55,2.55,280,0,0,2
about,3631.49019607843,5,2,4,1,0,1.85,1.95,39,0,0,8
above,48.8823529411765,5,2,4,0,0,1.95,1.95,47,0,0,4
abracadabra,1.03921568627451,11,5,11,0,0,5.95,6.9,33,0,0,1
abroad,4.90196078431373,6,2,5,0,0,2.55,1.95,54,0,0,4
abrupt,1.13725490196078,6,2,6,0,0,2.7,2.55,26,0,0,4
absence,6.31372549019608,7,2,6,0,1,2.65,2.65,106,0,0,4
absent,2.56862745098039,6,2,6,0,1,1.95,2.7,103,0,0,4
absolute,11.3137254901961,8,3,7,0,0,2.9,3.6,101,0,0,6
absolutely,113.117647058824,10,4,9,0,0,3.85,4.7,101,0,0,2
absorb,1.98039215686275,6,2,6,0,0,2.55,2.5,54,0,0,9
absorbed,1.52941176470588,8,2,7,0,0,2.55,2.55,342,0,0,11
abstract,2.17647058823529,8,2,8,0,0,2.65,2.65,161,1,0,9
absurd,9.70588235294118,6,2,5,0,0,2.7,2.65,64,0,0,3
abuse,10.2549019607843,5,2,5,1,0,1.8,1.85,74,1,0,7
abused,4.52941176470588,6,2,6,1,2,1.85,2.25,347,0,0,6
abusive,1.62745098039216,7,3,7,0,0,2.8,2.7,123,0,0,2
abyss,1.76470588235294,5,2,4,0,0,2.45,1.9,26,0,0,2
academic,4.66666666666667,8,4,8,0,0,3.3,3.35,102,0,0,4
academy,12.4117647058824,7,4,7,0,0,3.15,2.8,64,0,0,4
accelerate,1.27450980392157,10,4,8,0,0,3.25,3.75,155,0,0,2
accelerator,1.35294117647059,11,5,9,0,0,3.7,4.1,89,0,0,4
accent,12.1764705882353,6,2,6,1,0,1.85,2.2,110,1,0,7
accents,1.13725490196078,7,2,7,1,1,2.35,2.65,159,0,0,7
accept,52.7843137254902,6,2,6,1,2,2.35,2.3,48,1,0,11
acceptable,5.27450980392157,10,4,10,0,0,3.6,3.4,143,1,0,4
acceptance,3.15686274509804,10,3,9,0,0,3.8,3.6,129,1,0,7
accepted,15.7058823529412,8,3,8,0,1,2.7,2.8,395,1,0,12
accepting,4.03921568627451,9,3,8,0,1,2.8,2.75,594,1,0,12
accepts,2.07843137254902,7,2,7,1,1,2.65,2.65,109,0,0,11
access,31.6666666666667,6,2,5,0,2,2,1.85,77,0,0,8
accessible,1.09803921568627,10,4,9,0,0,3.75,3.4,125,0,0,4
accessories,1.49019607843137,11,4,8,0,0,4.2,3.65,114,0,0,3
accessory,2.88235294117647,9,4,7,0,0,3.25,3.4,154,0,0,5
accident,81.2941176470588,8,3,8,0,0,2.7,3.5,141,0,0,2
accidental,3,10,4,10,0,0,3.35,4.2,107,1,0,2
accidentally,8.80392156862745,12,5,11,0,0,4.3,4.55,76,1,0,3
accidents,6.66666666666667,9,3,9,0,0,3.05,3.7,105,0,0,2
accommodate,2.13725490196078,11,4,8,0,0,4.1,3.45,82,0,0,7
accommodations,1.66666666666667,14,5,11,0,0,4.4,3.65,51,0,0,6
accompanied,2.05882352941176,11,4,9,0,0,3.4,3.4,133,0,0,6
accompany,4.74509803921569,9,4,8,0,0,3.7,3.05,86,0,0,4
accomplice,4.23529411764706,10,3,8,0,0,3.65,3.35,128,0,0,1
accomplices,1.13725490196078,11,4,10,0,0,3.85,3.9,97,0,0,1
accomplish,5.84313725490196,10,3,8,0,0,3.75,3.4,110,0,0,2
accomplished,7.52941176470588,12,3,9,0,0,4,3.4,63,0,0,5
accomplishment,1.88235294117647,14,4,12,0,0,4.7,4.1,33,0,0,2
accord,1.62745098039216,6,2,5,0,5,2.45,1.6,90,0,0,6
accordance,1.58823529411765,10,3,8,0,0,3.75,2.9,141,0,0,2
according,41.8627450980392,9,3,7,0,0,2.7,1.9,515,0,0,4
accordingly,1.82352941176471,11,4,9,0,0,4.2,3.4,97,0,0,2
accordion,1.31372549019608,9,4,8,0,0,3.6,2.95,240,0,0,1
account,44.7058823529412,7,2,5,0,1,2.6,2.1,90,0,0,14
accountable,1.41176470588235,11,4,9,0,0,3.95,3.55,123,1,0,1
accountant,6.17647058823529,10,3,8,0,0,3.6,3.5,163,0,0,1
accountants,1.07843137254902,11,3,9,0,0,4.2,3.8,126,0,0,1
accounted,3.01960784313725,9,3,7,0,0,2.6,1.9,413,1,0,4
